Hidden Layers,Number of nodes,Solver,Alpha,Test Set RMSE,Train Set RMSE,Learning Rate,Early Stopping,Learning Rate Init,Activation Function
2,6-3,lbfgs,0.002,52.9887409797733,50.6078835409892,constant,True,,
3,6-3-2,lbfgs,0.0015,53.0121284102256,,,,,
2,6-3,lbfgs,0.0015,53.0156864070351,50.6423916613374,invscaling,True,,
3,7-3-1,adam,0.0017,53.1597801597924,47.5075928193075,invscaling,False,0.0005,
3,6-3-2,adam,0.002,53.1799728022933,,,,,
3,5-2-1,adam,0.002,53.485474008838,,,,,
3,5-1-1,adam,0.001,53.4904279387538,,,,,
3,6-1-2,lbfgs,0.001,53.503851666667,,,,,
3,6-3-1,lbfgs,0.0017,53.6079782270963,44.2026380522191,invscaling,True,0.002,
3,"5,2,0.001",adam,0.001,53.7295786934629,,,,,
2,6-3,lbfgs,0.0017,53.7905677613508,43.0928324247499,invscaling,True,0.001,tanh
3,"4,2,0.001",adam,0.001,53.825631314299,,,,,
4,"4,10,10,0.002",adam,0.002,53.8359480940291,,,,,
4,"3,2,20,0.002",adam,0.002,53.945094203475,,,,,
3,5-2-1,adam,0.0015,54.2018301182078,,,,,
4,"5,2,20,0.004",adam,0.004,54.294637644932,,,,,
2,6-4,adam,0.002,54.2985380402672,52.4864971624333,invscaling,True,0.0005,
2,"5,2",adam,0.001,54.31,,,,,
2,7-2,lbfgs,0.0017,54.3584660884829,44.2952608388227,constant,False,0.002,
2,7-4,lbfgs,0.0015,54.3730198294658,45.048166379881,constant,False,0.001,
4,"3,2,20,0.002",adam,0.002,54.3741907708511,,,,,
2,6-4,adam,0.0017,54.4088844617044,47.8993821416399,invscaling,False,0.002,
3,"3,10,0.001",adam,0.001,54.4414617875687,,,,,
2,6-3,adam,0.0018,54.448524251286,47.209660072725,invscaling,False,0.001,
3,"4,1,0.004",adam,0.004,54.495856373166,,,,,
4,"6,2,20,0.001",adam,0.001,54.5341261425481,,,,,
4,"4,3,20,0.0005",sgd,0.0005,54.5382420684143,,,,,
4,"4,10,20,0.0005",adam,0.0005,54.5490945075055,,,,,
4,"4,10,20,0.002",adam,0.002,54.5833675369871,,,,,
4,"3,2,20,0.004",adam,0.004,54.6670265546829,,,,,
2,6-4,adam,0.002,54.7108639023784,53.0104896080259,constant,True,0.0005,
3,5-2-2,adam,0.0015,54.7711418331635,,,,,
3,6-4-1,lbfgs,0.0018,54.8717266393717,43.0795288057108,invscaling,True,0.002,
4,"3,10,10,0.0005",adam,0.0005,54.8747996185274,,,,,
2,5-3,adam,0.0015,54.8974220975163,,,,,
3,"4,1,0.004",adam,0.004,54.8985807533626,,,,,
3,"4,3,0.002",adam,0.002,54.902173132736,,,,,
3,"4,3,0.002",adam,0.002,54.9169560762503,,,,,
3,6-3-2,adam,0.002,54.9177272108195,51.6221687506369,adaptive,True,,
4,"3,3,20,0.0005",adam,0.0005,54.9228760334905,,,,,
3,6-2-1,adam,0.0018,54.934139406379,49.1821748206183,invscaling,False,0.002,
4,"4,10,10,0.004",sgd,0.004,54.9389826555156,,,,,
4,"4,2,20,0.001",sgd,0.001,54.9546361123454,,,,,
3,5-3-1,adam,0.001,55.0220561295524,,,,,
3,6-4-1,adam,0.0015,55.0435539943528,51.2737125996672,constant,True,0.001,
3,7-4-1,adam,0.0015,55.0534677381793,50.1801040396631,constant,False,0.0005,
3,6-2-1,adam,0.0015,55.0700103177605,,,,,
3,"5,1,0.0005",adam,0.0005,55.0740634277255,,,,,
2,5-2,adam,0.0015,55.075710121827,51.0363828933174,constant,False,,
4,"4,10,10,0.0005",adam,0.0005,55.09240263413,,,,,
2,6-4,adam,0.002,55.1170719759052,48.7735068466109,constant,False,0.0005,
3,"3,3,0.001",adam,0.001,55.1185804098079,,,,,
3,"4,1,0.004",adam,0.004,55.1252603011965,,,,,
3,"4,2,1",adam,1,55.1356565752394,,,,,
3,5-1-1,adam,0.001,55.1404591490524,,,,,
2,7-3,adam,0.0018,55.1547169958798,52.0300565034614,invscaling,True,0.002,
2,"5,3",adam,0.0001,55.17,,,,,
2,5-2,lbfgs,0.0015,55.1805493525093,48.6017347886945,constant,False,,
2,6-3,lbfgs,0.002,55.1970299837482,46.5716624307393,invscaling,True,0.002,tanh
3,"6,1,0.002",adam,0.002,55.2013226286238,,,,,
4,"3,3,20,0.001",adam,0.001,55.205558331524,,,,,
3,"3,2,0.004",adam,0.004,55.2190158374964,,,,,
3,5-2-1,adam,0.0015,55.2254503285318,48.6303863758327,constant,False,,
2,7-2,adam,0.0017,55.2549308343182,49.1562977823467,invscaling,False,0.002,
2,7-4,adam,0.0015,55.26007434155,52.9837982986099,constant,True,0.0005,
3,5-1-2,lbfgs,0.001,55.323746796738,,,,,
3,7-2-1,adam,0.0017,55.3291018087815,50.3734627268437,invscaling,False,0.002,
3,5-1-2,sgd,0.001,55.3347033327448,,,,,
3,"3,3,0.002",adam,0.002,55.339420348066,,,,,
3,"4,2,0.004",adam,0.004,55.3569779493908,,,,,
4,"4,3,20,0.002",sgd,0.002,55.3604564836244,,,,,
4,"6,2,20,0.001",sgd,0.001,55.364846076561,,,,,
4,"3,2,20,0.004",adam,0.004,55.3693771024974,,,,,
3,"6,1,0.002",adam,0.002,55.3730449969657,,,,,
2,6-4,adam,0.002,55.3892303715971,52.3895603955661,constant,True,0.002,
2,6-2,lbfgs,0.001,55.3949016890808,,,,,
2,6-2,lbfgs,0.002,55.3960470091455,52.0704555639838,constant,False,0.0005,
3,"6,2,0.0005",adam,0.0005,55.4220245987008,,,,,
2,7-2,adam,0.0018,55.4265547192917,48.4889092541947,invscaling,False,0.002,
2,5-3,adam,0.002,55.4362166118742,48.0269929487355,constant,False,,
3,"4,2,0.0005",adam,0.0005,55.4483564532851,,,,,
4,"3,3,10,0.0005",sgd,0.0005,55.4500328715856,,,,,
3,6-2-1,adam,0.0015,55.456585191576,48.7809071017995,constant,False,,
3,"4,1,0.002",adam,0.002,55.462403334933,,,,,
4,"4,3,2,3",adam,0.01,55.47,,,,,
2,7-3,adam,0.0015,55.4718147627601,52.2156344363711,constant,True,0.001,
3,"4,1,0.002",adam,0.002,55.4743509639804,,,,,
3,"3,2,0.002",adam,0.002,55.4863256616962,,,,,
3,6-3-2,lbfgs,0.002,55.4951133972101,,,,,
3,6-2-1,lbfgs,0.002,55.4986960036447,49.7599252302297,constant,False,,
2,5-2,adam,0.002,55.5149372737279,49.1742082611698,constant,False,,
2,5-2,adam,0.0017,55.5164686997352,48.9220920145167,constant,False,,
3,5-3-1,adam,0.0015,55.5450587651147,,,,,
4,"6,2,20,0.002",adam,0.002,55.5512807451955,,,,,
3,"5,2,1",adam,1,55.5557179700588,,,,,
4,"4,10,10,0.0005",adam,0.0005,55.5590214834753,,,,,
3,"6,3,0.004",adam,0.004,55.5602299932992,,,,,
4,"6,10,20,0.002",adam,0.002,55.5805565839148,,,,,
3,6-3-2,lbfgs,0.0015,55.5818214424322,,,,,
3,6-3-2,lbfgs,0.002,55.6224803163988,,,,,
2,5-2,lbfgs,0.0015,55.6254184830338,45.7587402813758,constant,False,,
3,"4,3,2",adam,0.01,55.63,,,,,
2,7-2,adam,0.0017,55.6335530362098,53.5727290985583,invscaling,True,0.002,
3,"3,2,0.0005",adam,0.0005,55.6367064528763,,,,,
3,"6,1,0.002",adam,0.002,55.6431485015964,,,,,
3,"3,1,0.001",adam,0.001,55.6451408316009,,,,,
3,7-2-1,adam,0.002,55.6461797154899,49.7598824168104,invscaling,False,0.001,
4,"4,3,10,0.0005",adam,0.0005,55.6510519974667,,,,,
3,5-2-2,adam,0.002,55.6549748525168,,,,,
3,"6,2,0.001",adam,0.001,55.6729134868032,,,,,
3,5-2-1,adam,0.0015,55.6740493043308,,,,,
2,6-4,adam,0.0017,55.6848484849985,52.2715465089412,constant,True,0.001,
2,6-1,adam,0.002,55.695163682225,,,,,
3,"4,2,0.001",adam,0.001,55.6995815284238,,,,,
2,5-2,adam,0.001,55.7001066381785,49.044500219355,constant,False,,
3,6-3-1,adam,0.0015,55.7032186563947,49.6778750955397,constant,False,0.0005,
3,6-4-1,adam,0.0017,55.7064140230872,51.7878958685854,constant,True,0.001,
3,"5,1,0.001",adam,0.001,55.7084181662078,,,,,
3,6-4-1,adam,0.0018,55.7319987301409,49.0019667722424,invscaling,False,0.001,
3,"5,2,0.001",adam,0.001,55.7322086632395,,,,,
4,"5,3,20,0.002",adam,0.002,55.7334351470756,,,,,
3,"4,3,0.001",adam,0.001,55.7404210839396,,,,,
3,7-3-1,adam,0.0015,55.7418497374242,48.560772986167,invscaling,False,0.002,
3,6-3-2,adam,0.0015,55.7458933795301,49.6294511318909,invscaling,False,,
3,"4,3,0.004",adam,0.004,55.748386214915,,,,,
3,6-1-1,lbfgs,0.001,55.7817000911904,,,,,
4,"4,3,10,0.004",adam,0.004,55.7830054340279,,,,,
3,5-3-1,lbfgs,0.0015,55.7885918123024,,,,,
3,"5,2,0.0005",adam,0.0005,55.7980812251854,,,,,
2,5-3,adam,0.0017,55.8187636171893,49.0419835184764,constant,False,,
3,"6,1,0.002",adam,0.002,55.8390332078576,,,,,
3,6-1-2,adam,0.002,55.8423382658732,,,,,
3,"5,2,0.0005",adam,0.0005,55.8456182477408,,,,,
2,7-4,adam,0.0017,55.8474304208391,51.9377701095314,constant,True,0.002,
3,6-4-1,adam,0.0015,55.8488089399009,53.6391529695246,invscaling,True,0.002,
3,"6,1,0.004",adam,0.004,55.8489220659071,,,,,
3,6-2-1,adam,0.0015,55.8498634757802,54.5623109311243,invscaling,True,0.001,
3,"4,3,0.0005",adam,0.0005,55.8532660904903,,,,,
3,"4,3,0.004",adam,0.004,55.8594375976246,,,,,
3,"5,3,0.004",adam,0.004,55.8648594509047,,,,,
3,6-2-2,lbfgs,0.001,55.8654365132682,,,,,
2,6-3,adam,0.0015,55.8687118007935,47.426770717468,constant,False,,
2,7-2,adam,0.002,55.8724124046558,54.272493065736,constant,True,0.0005,
4,"4,3,10,0.0005",adam,0.0005,55.8787914955112,,,,,
3,"3,3,0.0005",adam,0.0005,55.8807857259861,,,,,
4,"3,10,20,0.004",sgd,0.004,55.8828985899149,,,,,
2,5-1,adam,0.0015,55.883203714388,,,,,
4,"4,2,20,0.002",adam,0.002,55.8898451620507,,,,,
3,6-3-2,adam,0.0017,55.9053860297403,49.9569917311694,constant,False,,
3,6-3-2,adam,0.002,55.9111987892143,,,,,
3,5-1-1,adam,0.0015,55.9174518361581,,,,,
3,"4,1,0.001",adam,0.001,55.9365043835675,,,,,
3,6-3-1,lbfgs,0.002,55.9390168673439,51.9646360451611,constant,True,0.002,
4,"3,10,20,0.0005",adam,0.0005,55.941391680189,,,,,
3,5-1-2,lbfgs,0.001,55.945351018123,,,,,
4,"3,2,10,0.002",adam,0.002,55.9534303083625,,,,,
3,5-2-1,adam,0.0015,55.9590702573361,49.1307344611569,constant,False,,
2,6-3,adam,0.0015,55.9622979436467,48.6375477290314,adaptive,False,,
3,6-2-1,lbfgs,0.0015,55.9636653338056,,,,,
4,"3,3,20,0.004",adam,0.004,55.9649292914188,,,,,
3,"5,1,0.0005",adam,0.0005,55.9706837808227,,,,,
3,"6,2,0.002",adam,0.002,55.9764196087559,,,,,
