,0,1,2,3,4
0,Rank,Animal,Average mass[tonnes],Maximum mass[tonnes],Average total length[m (ft)]
1,1,Blue whale,110[14],190[8],24 (79)[15]
2,2,North Pacific right whale,60[16],120[8],15.5 (51)[14]
3,3,Southern right whale,58[14],110[17],15.25 (50)[14]
4,4,Fin whale,57[14],120[17],19.5 (64)[14]
5,5,Bowhead whale,54.5[14][18],120[8],15 (49)[14]
6,6,North Atlantic right whale,54[14][19],110[17][20],15 (49)[14][20]
7,7,Sperm whale,31.25[14][21],57[8],13.25 (43.5)[14][21]
8,8,Humpback whale,29[14][22],48[23],13.5 (44)[14]
9,9,Sei whale,22.5[14],45[24],14.8 (49)[14]
10,10,Gray whale,19.5[14],45[25],13.5 (44)[14]
